"Jurisdiction","Regulation Name + Version","Document Title","Document Type","Issuing Authority","Publication Date","Effective Date","Last Updated","Source URL","Language","Section/Article Identifiers","Scope Summary","Notes for Ingestion","regulation_category","retrieval_priority","privacy_relevance","applicable_sector","superseded","superseded_by","concept_tags","document_id","parent_regulation","version","chunk_strategy","cross_references"
"Bahrain","PDPA Ministerial Order 51/2022","Bahrain_PDPA_Order_51_2022_Public_Personal_Data_Registers","Ministerial Order","Personal Data Protection Authority","2022-03-17","2022-03-18","2022-03-17","https://www.pdp.gov.bh/en/executive-decisions.html","en","Articles 1-5","Conditions for creating publicly-accessible personal data registers implementing PDPL Article 11.","","privacy_narrow","reference_only","low","general","FALSE","","Public_Registers,Lawful_Basis,Data_Subject_Rights","BH-PDPA-O51","BH-PDPL","1.0","article","BH-PDPL:Art.11"
"Bahrain","Personal Data Protection Law 30/2018","Bahrain_PDPL_Law_30_2018","Law","Personal Data Protection Authority","2018-07-12","2019-08-01","2018-07-12","https://www.pdp.gov.bh/en/regulations.html","en","Articles 1-60","Primary personal data protection legislation establishing controller/processor obligations, data subject rights, the PDPA Authority, and penalties.","","privacy_core","primary","critical","general","FALSE","","Lawful_Basis,Consent_Standard,Data_Subject_Rights,Cross_Border_Transfer,Security_Measures,Breach_Notification,Data_Protection_Guardian,Sensitive_Data","BH-PDPL","","1.0","article",""
"India","Digital Personal Data Protection Act 2023","India_DPDP_Act_2023","Act","Ministry of Electronics and Information Technology","2023-08-11","2025-11-13","2025-11-13","https://www.meity.gov.in/static/uploads/2024/06/2bf1f0e9f04e6fb4f8fef35e82c42aa5.pdf","en","Sections 1-44 (across Chapters I-X)","India's primary digital personal data protection legislation establishing data fiduciary obligations, data principal rights, the Data Protection Board of India, and a phased enforcement regime culminating in full effect on 2027-05-13. Applies to processing of digital personal data within India and extra-territorially where processing relates to offering goods or services to data principals in India.","Phased enforcement per Section 1(2): Phase 1 (procedural provisions + establishment of Data Protection Board) effective 2025-11-13; Phase 2 (Consent Manager framework under DPDP Rules Rule 4) effective 2026-11-13; Phase 3 (substantive obligations — consent, breach notification, security, data principal rights, cross-border transfers, Significant Data Fiduciary obligations) effective 2027-05-13. Until Phase 3 is fully in force, IT Act 2000 Sections 43A and 72A and SPDI Rules 2011 remain operative for sensitive personal data.","privacy_core","primary","critical","general","FALSE","","Lawful_Basis,Consent_Standard,Data_Subject_Rights,Cross_Border_Transfer,Security_Measures,Breach_Notification_Timeline,Children_Data,Significant_Data_Fiduciary","IN-DPDP-ACT","","1.0","section","IN-IT-ACT:Sec.43A; IN-IT-ACT:Sec.72A"
"India","Digital Personal Data Protection Rules 2025","India_DPDP_Rules_2025","Rules","Ministry of Electronics and Information Technology","2025-11-13","2025-11-14","2025-11-14","https://www.meity.gov.in/static/uploads/2025/11/dpdp-rules-2025.pdf","en","Rules 1-23 (+ First Schedule and Schedules 2-7)","Implementing rules under the DPDP Act 2023 — operationalises consent notices (Rule 3), security safeguards including encryption and 1-year log retention (Rule 6), 72-hour breach notification to the Data Protection Board (Rule 7), Consent Manager registration (Rule 4), Data Protection Board procedures (Rules 17-21), and processing of children's and disability data. Phased enforcement through 2027-05-14.","Operationalises DPDP Act 2023. Phased enforcement per Rule 1(2)-(4): Phase 1 — Rules 1, 2, 17-21 effective 2025-11-14 (short title, definitions, Data Protection Board procedures); Phase 2 — Rule 4 effective 2026-11-14 (Consent Manager registration and obligations); Phase 3 — Rules 3, 5-16, 22-23 effective 2027-05-14 (notice requirements, processing for State subsidies, security safeguards including encryption and 1-year log retention under Rule 6, 72-hour breach notification under Rule 7, children's and disability data, cross-border transfers, Data Protection Officer requirements). Seven Schedules cover Consent Manager conditions, security standards, and operational matters.","privacy_implementing","primary","high","general","FALSE","","Consent_Notice,Security_Measures,Encryption,Log_Retention,Breach_Notification_Timeline,Consent_Manager,Children_Data,Cross_Border_Transfer,DPO","IN-DPDP-RULES","IN-DPDP-ACT","1.0","rule","IN-DPDP-ACT"
"India","RBI IT Governance Risk Controls Directions 2023","India_RBI_Information_Technology_Governance_Risk_Controls_Assurance_Practices_Directions_2023","Direction","Reserve Bank of India","2023-11-07","2024-04-01","2023-11-07","https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12562","en","Chapters I-VII (Sections 1-32) + Annex","RBI master direction on IT governance for regulated entities — covers IT governance framework, IT infrastructure management, information security, vulnerability assessment and penetration testing (Section 26), cyber incident response and CERT-In/RBI reporting (Section 27), business continuity and disaster recovery (Sections 28-29), and information systems audit (Section 30). Applies to scheduled commercial banks including BBK's Indian branches.","RBI Notification RBI/2023-24/107 dated 7 November 2023. Applies to Scheduled Commercial Banks (excluding RRBs), Small Finance Banks, Payments Banks, NBFCs, Credit Information Companies, and All India Financial Institutions — including BBK's Indian branches. Privacy-relevant provisions: Section 26 (Vulnerability Assessment and Penetration Testing — semi-annual VA and annual PT for critical systems with customer interface); Section 27 (Cyber Incident Response and Recovery Management — mandatory CERT-In and RBI notification); Sections 28-29 (BCP/DR with defined RTO/RPO); Section 30 (Information Systems Audit). Repealed 12 prior circulars listed in Annex.","banking_regulator","secondary","partial","banking","FALSE","","IT_Governance,Security_Measures,Vulnerability_Assessment,Penetration_Testing,Incident_Response,Business_Continuity,Information_Systems_Audit","IN-RBI-ITGOV","","RBI/2023-24/107","chapter",""
"India","RBI Outsourcing of IT Services Directions 2023","India_RBI_Outsourcing_of_Information_Technology_Services_Directions_2023","Direction","Reserve Bank of India","2023-04-10","2023-10-01","2023-04-10","https://www.rbi.org.in/Scripts/BS_ViewMasDirections.aspx?id=12486","en","Chapters I-X (Sections 1-22) + Appendix I","RBI master direction on outsourcing of IT services by regulated entities — covers governance framework, due diligence on service providers, mandatory contractual clauses including data confidentiality and security, risk management, monitoring, intra-group outsourcing, cross-border outsourcing requirements (relevant for foreign bank branches like BBK), exit strategy with data return/destruction, and cloud computing usage.","RBI Notification RBI/2023-24/102 dated 10 April 2023. Applies to Scheduled Commercial Banks (excluding RRBs), Local Area Banks, Small Finance Banks, Payments Banks, Primary Urban Co-operative Banks, NBFCs, Credit Information Companies, and All India Financial Institutions — including BBK's Indian branches. Privacy-relevant chapters: Chapter V (Outsourcing Agreement — must include data confidentiality and security clauses); Chapter VII (Monitoring and Control of Outsourced Activities); Chapter VIII (Outsourcing within a Group/Conglomerate); Chapter IX (Cross-Border Outsourcing — directly relevant for BBK as a foreign bank with cross-border data flows); Chapter X (Exit Strategy including data return/destruction). Appendix I covers usage of cloud computing services.","banking_regulator","secondary","partial","banking","FALSE","","Outsourcing,Third_Party_Risk,Cross_Border_Transfer,Data_Confidentiality,Cloud_Computing,Exit_Strategy","IN-RBI-OUTSOURCE","","RBI/2023-24/102","chapter",""
"Kuwait","Kuwait Cybersecurity Framework","CYBERSECURITY FRAMEWORK","Framework","Communication and Information Technology Regulatory Authority","2020-03-01","2020-03-01","2023-05-01","https://citra.gov.kw/en/cybersecurity-framework","en","Sections 1-12","National cybersecurity framework for Kuwait","CITRA national-level framework; remains active for non-banking sectors. CBK CORF 2025 is sector-specific (banks) and overlays — does not supersede this framework.","cybersecurity","secondary","partial","general","FALSE","","Cyber_Resilience,Security_Measures,Incident_Response","KW-CYBER-FW","","1.0","section",""
"Kuwait","CBK Bank Customer Protection Guide 2025","Kuwait_CBK_Bank_Customer_Protection_Guide_October_2025","Guide","Central Bank of Kuwait","2025-10-01","2025-10-01","2025-10-01","https://www.cbk.gov.kw/en/customer-protection-guide-2025","en","Chapters 1-9","Customer protection requirements for CBK-regulated banks","New 2025 guide","banking_regulator","secondary","high","banking","FALSE","","Customer_Protection,Data_Subject_Rights,Complaints_Procedure,Disclosure_Requirements","KW-CBK-CPG","","1.0","chapter",""
"Kuwait","CBK Cyber Operational Resilience Framework 2025","Kuwait_CBK_CORF_Cyber_Operational_Resilience_Framework_December_2025","Framework","Central Bank of Kuwait","2025-12-15","2025-12-15","2025-12-15","https://www.cbk.gov.kw/en/cyber-operational-resilience-framework-2025","en","Sections 1-18","Cyber and operational resilience framework for CBK-regulated entities","Very recent","banking_regulator","secondary","high","banking","FALSE","","Cyber_Resilience,Operational_Resilience,Security_Measures,Incident_Response,Business_Continuity","KW-CBK-CORF","","1.0","section",""
"Kuwait","CITRA Cloud Computing Regulatory Framework 2021","Kuwait_CITRA_Cloud_Computing_Regulatory_Framework_2021","Regulatory Framework","Communication and Information Technology Regulatory Authority","2021-06-01","2021-06-01","2022-11-01","https://citra.gov.kw/en/cloud-computing-framework-2021","en","Articles 1-20","Regulatory framework for cloud computing services in Kuwait","-","cloud_regulation","secondary","partial","cloud_services","FALSE","","Cloud_Computing,Data_Localisation,Cross_Border_Transfer,Security_Measures,Third_Party_Risk","KW-CITRA-CLOUD","","1.0","article",""
"Kuwait","Data Privacy Protection Regulation Administrative Decision 26/2024","Kuwait_DPPR_Administrative_Decision_26_2024","Administrative Decision","Communication and Information Technology Regulatory Authority","2024-03-15","2024-03-15","2024-03-15","https://citra.gov.kw/en/data-privacy-regulation-26-2024","en","Articles 1-25","Data privacy protection regulation for Kuwait","-","privacy_core","primary","critical","general","FALSE","","Lawful_Basis,Consent_Standard,Data_Subject_Rights,Cross_Border_Transfer,Security_Measures,Breach_Notification_Timeline","KW-DPPR","","26/2024","article",""
"Kuwait","Electronic Transactions Law 20/2014","Kuwait_Law_20_2014_Electronic_Transactions","Law","Government of Kuwait","2014-05-12","2014-05-12","2023-08-01","https://www.moj.gov.kw/en/laws/law-20-2014","en","Articles 1-32","Law governing electronic transactions and signatures in Kuwait","-","adjacent_law","secondary","partial","general","FALSE","","Electronic_Signatures,Electronic_Records,Authentication","KW-ETL","","20/2014","article",""
"Kuwait","Data Privacy Protection Regulation Resolution 42","Resolution-No-42-On-Data-Privacy-Protection-Regulation","Resolution","Communication and Information Technology Regulatory Authority","2020-09-10","2020-09-10","2024-01-15","https://citra.gov.kw/en/resolution-42-data-privacy","en","Articles 1-18","Resolution on data privacy protection regulation in Kuwait","Superseded in parts by 2024 DPPR","privacy_implementing","reference_only","partial","general","TRUE","Kuwait_DPPR_Administrative_Decision_26_2024","Lawful_Basis,Consent_Standard,Data_Subject_Rights,Cross_Border_Transfer","KW-DPPR-RES42","","42/2020","article",""
"BBK","BBK Customer Data Handling Procedure v1 (CSD-002)","BBK-CSD-002_Customer_Data_Handling_Procedure_CONTRADICTORY","Internal Procedure","Bank of Bahrain and Kuwait (BBK)","2023-05-01","2023-06-01","2024-02-28","Internal (BBK Policy Portal)","en","BBK-CSD-002 (All sections)","BBK internal procedure for handling customer personal data across all branches","CONTRADICTORY — contains clauses that conflict with Bahrain PDPL and Kuwait DPPR requirements; flag all conflicting sections during gap analysis","internal_procedure","primary","high","banking","FALSE","","Customer_Data_Handling,Data_Classification,Cross_Border_Transfer","BBK-CSD-002","BBK-LGL-001","v1","clause","BH-PDPL; KW-DPPR"
"BBK","BBK Data Subject Rights Procedure v1 (DSR-003)","BBK-DSR-003_Data_Subject_Rights_Procedure_PARTIAL","Internal Procedure","Bank of Bahrain and Kuwait (BBK)","2023-08-15","2023-09-01","2024-11-10","Internal (BBK Policy Portal)","en","BBK-DSR-003 (Sections 4-7)","BBK internal procedure for handling data subject access, rectification, and erasure requests","PARTIAL — procedure does not cover all data subject rights mandated by Bahrain PDPA Order 47/2022 and India DPDP Act 2023; gaps should be identified","internal_procedure","primary","high","banking","FALSE","","Data_Subject_Rights,Access_Requests,Rectification,Erasure","BBK-DSR-003","BBK-LGL-001","v1","clause","BH-PDPA-O47; IN-DPDP-ACT"
"BBK","BBK Data Privacy Statement (Board Approved)","BBK-Data-Privacy-Statement-Final-and-Approved-by-BoD-1","Privacy Statement","Bank of Bahrain and Kuwait (BBK)","2024-01-20","2024-02-01","2025-01-15","https://www.bbkonline.com/privacy-statement","en","Full document","BBK's publicly facing data privacy statement approved by the Board of Directors","Board-approved; compare against regulatory disclosure requirements in Bahrain, India & Kuwait","internal_policy","primary","high","banking","FALSE","","Privacy_Notice,Disclosure_Requirements,Data_Subject_Rights,Lawful_Basis","BBK-DPS","BBK-LGL-001","2024.1","whole","BH-PDPL; IN-DPDP-ACT; KW-DPPR"
"BBK","BBK Third Party Data Sharing Guideline v1 (GDL-011)","BBK-GDL-011_Third_Party_Data_Sharing_Guideline_VAGUE","Internal Guideline","Bank of Bahrain and Kuwait (BBK)","2023-11-01","2023-12-01","2024-09-30","Internal (BBK Policy Portal)","en","BBK-GDL-011 (All sections)","BBK internal guideline governing sharing of personal data with third parties and vendors","VAGUE — lacks specificity on contractual requirements, data transfer safeguards, and third-party audit rights required by Bahrain PDPA and India DPDP Rules","internal_guideline","secondary","partial","banking","FALSE","","Third_Party_Risk,Data_Sharing,Outsourcing,Audit_Rights","BBK-GDL-011","BBK-LGL-001","v1","clause","BH-PDPA-O42; IN-DPDP-RULES"
"BBK","BBK Data Governance Framework Policy v1 (GOV-003)","BBK-GOV-003_Data_Governance_Framework_Policy","Internal Policy","Bank of Bahrain and Kuwait (BBK)","2024-03-15","2024-04-01","2025-02-01","Internal (BBK Policy Portal)","en","GOV-003 (Sections 1-9)","BBK's overarching data governance framework covering data ownership, stewardship, and accountability","Core governance document; cross-reference against DPO requirements in Bahrain PDPA Order 46/2022","internal_policy","primary","high","banking","FALSE","","Accountability_Framework,Data_Governance,DPO,Records_of_Processing","BBK-GOV-003","","v1","clause","BH-PDPA-O46"
"BBK","BBK Data Privacy Protection Policy v1 (LGL-001)","BBK-LGL-001_Data_Privacy_Protection_Policy","Internal Policy","Bank of Bahrain and Kuwait (BBK)","2024-06-10","2024-07-01","2025-03-01","Internal (BBK Policy Portal)","en","LGL-001 (All sections)","BBK's primary internal data privacy and protection policy applicable across all jurisdictions","Primary policy document; key reference for gap analysis against Bahrain, India & Kuwait","internal_policy","primary","critical","banking","FALSE","","Consent_Standard,Data_Subject_Rights,Security_Measures,Cross_Border_Transfer,Accountability_Framework","BBK-LGL-001","","v1","clause","BH-PDPL; IN-DPDP-ACT; KW-DPPR"
"BBK","BBK Data Handling SOP — Bahrain Branch (OPS-012-BH)","BBK-OPS-012-BH_Data_Handling_SOP_Bahrain_Branch","Internal SOP","Bank of Bahrain and Kuwait (BBK)","2024-02-01","2024-02-15","2025-01-10","Internal (BBK Policy Portal - Bahrain)","en","OPS-012-BH (All procedures)","Operational data handling procedures specific to BBK's Bahrain branch","Bahrain-specific SOP; compare against Bahrain PDPL, PDPA Orders, and CBB requirements","internal_sop","primary","high","banking","FALSE","","Operational_Procedures,Data_Handling,Security_Measures,Breach_Notification","BBK-OPS-012-BH","BBK-LGL-001","v1","clause","BH-PDPL; BH-CBB-OM5"
"BBK","BBK Data Handling SOP — India Branch (OPS-012-IN)","BBK-OPS-012-IN_Data_Handling_SOP_India_Branch","Internal SOP","Bank of Bahrain and Kuwait (BBK)","2024-05-20","2024-06-01","2025-02-20","Internal (BBK Policy Portal - India)","en","OPS-012-IN (All procedures)","Operational data handling procedures specific to BBK's India branch","India-specific SOP; compare against DPDP Act 2023, DPDP Rules 2025, and RBI directions","internal_sop","primary","high","banking","FALSE","","Operational_Procedures,Data_Handling,Security_Measures,Cross_Border_Transfer","BBK-OPS-012-IN","BBK-LGL-001","v1","clause","IN-DPDP-ACT; IN-DPDP-RULES; IN-RBI-ITGOV; IN-RBI-OUTSOURCE; IN-RBI-KYC-MD; IN-RBI-PAY-LOC"
"BBK","BBK Data Handling SOP — Kuwait Branch (OPS-012-KW)","BBK-OPS-012-KW_Data_Handling_SOP_Kuwait_Branch","Internal SOP","Bank of Bahrain and Kuwait (BBK)","2024-08-10","2024-09-01","2025-01-25","Internal (BBK Policy Portal - Kuwait)","en","OPS-012-KW (All procedures)","Operational data handling procedures specific to BBK's Kuwait branch","Kuwait-specific SOP; compare against Kuwait DPPR, CITRA Cloud Framework, and CBK requirements","internal_sop","primary","high","banking","FALSE","","Operational_Procedures,Data_Handling,Security_Measures,Cloud_Computing","BBK-OPS-012-KW","BBK-LGL-001","v1","clause","KW-DPPR; KW-CITRA-CLOUD; KW-CBK-CPG; KW-CBK-CORF"
"BBK","BBK Third Party Vendor Data Processing Policy v1 (PROC-007)","BBK-PROC-007_Third_Party_Vendor_Data_Processing_Policy","Internal Policy","Bank of Bahrain and Kuwait (BBK)","2024-04-05","2024-05-01","2025-02-15","Internal (BBK Policy Portal)","en","PROC-007 (Sections 1-12)","BBK policy governing data processing activities performed by third-party vendors","Cross-reference against third-party processor requirements in Bahrain PDPA, India DPDP Rules, and Kuwait DPPR","internal_policy","primary","high","banking","FALSE","","Third_Party_Risk,Data_Processor,Outsourcing,Contractual_Safeguards","BBK-PROC-007","BBK-LGL-001","v1","clause","BH-PDPL; IN-DPDP-RULES; KW-DPPR"
"BBK","BBK Retention and Disposal Policy v1 (RET-005)","BBK-RET-005_Retention_Disposal_Policy_OUTDATED","Internal Policy","Bank of Bahrain and Kuwait (BBK)","2022-12-01","2023-01-01","2023-11-30","Internal (BBK Policy Portal)","en","RET-005 (All sections)","BBK policy for data retention periods and secure disposal of personal data","OUTDATED — retention periods predate India DPDP Rules 2025 and Kuwait DPPR 2024; likely non-compliant; flag as high-priority gap","internal_policy","primary","high","banking","FALSE","","Data_Retention,Data_Disposal,Data_Lifecycle","BBK-RET-005","BBK-LGL-001","v1","clause","IN-DPDP-RULES; KW-DPPR; IN-PMLA-S12"
"India","Information Technology Act 2000","India_IT_Act_2000","Act","Ministry of Law and Justice","2000-06-09","2000-10-17","2023-08-11","https://www.indiacode.nic.in/handle/123456789/1999","en","Sections 1-90 (privacy-relevant: Sections 43A, 72A, and SPDI Rules 2011 made under Section 87)","Indian information technology law. Sections 43A (compensation for negligence in handling sensitive personal data) and 72A (penalty for unauthorised disclosure) along with the SPDI Rules 2011 made under Section 87 are the legacy privacy regime — operative until DPDP Act Phase 3 fully repeals them on 2027-05-13.","Sections 43A (compensation for negligence in handling sensitive personal data) and 72A (penalty for unauthorised disclosure of personal information) along with the Information Technology (Reasonable Security Practices and Procedures and Sensitive Personal Data or Information) Rules 2011 are the privacy-relevant provisions. These remain operative until DPDP Act Phase 3 fully repeals them on 2027-05-13. Other IT Act sections (e-governance, digital signatures, computer offences) are out of corpus scope. Cite Sections 43A and 72A specifically; broader IT Act content is contextual.","adjacent_law","secondary","partial","banking","FALSE","","Sensitive_Data,Security_Measures,Unauthorized_Disclosure,Compensation","IN-IT-ACT","","21/2000","section","IN-DPDP-ACT; IN-PMLA-S12"
"India","RBI Cybersecurity Framework for Banks","India_RBI_Cybersecurity_Framework_Banks","Circular","Reserve Bank of India","2016-06-02","2016-06-02","2016-06-02","https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=10435","en","Sections 1-12 + Annex 1 (Baseline Cyber Security and Resilience Framework) + Annex 2 (Setting up of Cyber Security Operation Centre) + Annex 3 (Cyber Security Incident Reporting Template)","RBI baseline cybersecurity framework for Indian banks — covers cyber risk governance, baseline security controls, cyber crisis management, Cyber Security Operation Centre setup, and incident reporting to RBI. Directly applicable to BBK's Indian branches.","RBI Notification DBS.CO/CSITE/BC.11/33.01.001/2015-16. Establishes baseline cyber security and resilience framework for Indian banks including BBK's Indian branches. Privacy-relevant provisions: incident reporting to RBI, customer data protection requirements, third-party risk management.","banking_regulator","secondary","partial","banking","TRUE","India_RBI_Information_Technology_Governance_Risk_Controls_Assurance_Practices_Directions_2023","Cyber_Resilience,Security_Measures,Incident_Response,Customer_Data_Protection","IN-RBI-CYBER","","DBS.CO/CSITE/BC.11/33.01.001/2015-16","section","IN-RBI-ITGOV"
"BBK","BBK Security Incident Response SOP v1 (PROC-012)","BBK-PROC-012_Security_Incident_Response_SOP","Internal SOP","Bank of Bahrain and Kuwait (BBK)","2024-01-01","2024-01-01","2025-01-01","Internal (BBK Policy Portal)","en","PROC-012 (All sections)","BBK internal procedure for detecting reporting and responding to security incidents and personal data breaches across all branches","Key document for breach notification gap analysis; cross-reference against Bahrain PDPA Order 43/2022 India DPDP Rules 2025 Rule 7 and Kuwait DPPR breach obligations","internal_sop","primary","high","banking","FALSE","","Incident_Response,Breach_Notification,Breach_Notification_Timeline,Security_Measures","BBK-PROC-012","BBK-LGL-001","v1","clause","BH-PDPA-O43; IN-DPDP-RULES:Rule.7; KW-DPPR"
"Kuwait","Kuwait Cybercrime Law No. 63/2015","Kuwait_Cybercrime_Law_63_2015","Law","Government of Kuwait","2015-01-01","2015-01-01","2015-01-01","https://www.moj.gov.kw/en/laws/law-63-2015","en","Articles 1-35","Criminalizes unauthorized access alteration and disclosure of personal data in electronic systems in Kuwait","Relevant for data breach penalties and unauthorized data disclosure offenses; complements DPPR privacy obligations","cybersecurity","secondary","partial","general","FALSE","","Unauthorized_Access,Criminal_Penalties,Data_Disclosure","KW-CYBERCRIME","","63/2015","article","KW-DPPR"
"Kuwait","CITRA User Protection and Privacy Rules Regulation","Kuwait_CITRA_User_Protection_Privacy_Rules_Regulation","Regulation","Communication and Information Technology Regulatory Authority","2020-01-01","2020-01-01","2024-01-01","https://citra.gov.kw/en/user-protection-privacy-rules","en","Articles 1-20","Prescribes data collection consent and disclosure practices for CITRA-licensed telecommunications and internet service providers in Kuwait","Applies to licensed telecom/internet providers; relevant for BBK's digital services and data handling obligations under CITRA","privacy_implementing","secondary","high","telecom_it","FALSE","","Telecom_Privacy,Consent_Standard,Disclosure_Requirements,Data_Subject_Rights","KW-CITRA-USR-PROT","","1.0","article",""
